entrance_year, course_id, course_category, course_name, course_year, credit_required, credit_elective
2020,SD 221,武蔵野BASIS,ホスピタリティマインド概論,2年,0,2
2020,SD 222,武蔵野BASIS,ホスピタリティマインド各論,2年,0,2
2020,FW 101,武蔵野BASIS,フィールド・スタディーズ,1年,1,0
2020,FW 111,武蔵野BASIS,フィールド・スタディーズ１,1年,0,1
2020,FW 112,武蔵野BASIS,フィールド・スタディーズ２,1年,0,2
2020,FW 113,武蔵野BASIS,フィールド・スタディーズ３,1年,0,3
2020,FW 114,武蔵野BASIS,フィールド・スタディーズ４,1年,0,4
2020,FW 121,武蔵野BASIS,海外フィールド・スタディーズ１,1年,0,2
2020,FW 122,武蔵野BASIS,海外フィールド・スタディーズ２,1年,0,3
2020,FW 123,武蔵野BASIS,海外フィールド・スタディーズ３,1年,0,4
2020,FW 124,武蔵野BASIS,海外フィールド・スタディーズ４,1年,0,5
2020,FW 125,武蔵野BASIS,海外フィールド・スタディーズ５,1年,0,6
2020,AFS 101,武蔵野BASIS,フィールド・スタディーズ発展１Ａ,1年,0,1
2020,AFS 102,武蔵野BASIS,フィールド・スタディーズ発展１Ｂ,1年,0,2
2020,AFS 103,武蔵野BASIS,フィールド・スタディーズ発展１Ｃ,1年,0,3
2020,AFS 104,武蔵野BASIS,フィールド・スタディーズ発展１Ｄ,1年,0,4
2020,AFS 201,武蔵野BASIS,フィールド・スタディーズ発展２Ａ,2年,0,1
2020,AFS 202,武蔵野BASIS,フィールド・スタディーズ発展２Ｂ,2年,0,2
2020,AFS 203,武蔵野BASIS,フィールド・スタディーズ発展２Ｃ,2年,0,3
2020,AFS 204,武蔵野BASIS,フィールド・スタディーズ発展２Ｄ,2年,0,4
2020,AFS 205,武蔵野BASIS,フィールド・スタディーズ発展２Ｅ,2年,0,5
2020,AFS 301,武蔵野BASIS,フィールド・スタディーズ発展３Ａ,3年,0,1
2020,AFS 302,武蔵野BASIS,フィールド・スタディーズ発展３Ｂ,3年,0,2
2020,AFS 303,武蔵野BASIS,フィールド・スタディーズ発展３Ｃ,3年,0,3
2020,AFS 304,武蔵野BASIS,フィールド・スタディーズ発展３Ｄ,3年,0,4
2020,AFS 305,武蔵野BASIS,フィールド・スタディーズ発展３Ｅ,3年,0,5
2020,AFS 401,武蔵野BASIS,フィールド・スタディーズ発展４Ａ,4年,0,1
2020,AFS 402,武蔵野BASIS,フィールド・スタディーズ発展４Ｂ,4年,0,2
2020,AFS 403,武蔵野BASIS,フィールド・スタディーズ発展４Ｃ,4年,0,3
2020,AFS 404,武蔵野BASIS,フィールド・スタディーズ発展４Ｄ,4年,0,4
2020,INT 201,武蔵野BASIS,インターンシップ（事前研究）,2年,0,1
2020,INT 211,武蔵野BASIS,インターンシップ１,2年,0,1
2020,INT 212,武蔵野BASIS,インターンシップ２,2年,0,2
2020,INT 213,武蔵野BASIS,インターンシップ３,2年,0,4
2020,INT 214,武蔵野BASIS,インターンシップ４,2年,0,6
2020,INT 221,武蔵野BASIS,海外インターンシップ１,2年,0,4
2020,INT 222,武蔵野BASIS,海外インターンシップ２,2年,0,6
2020,INT 223,武蔵野BASIS,海外インターンシップ３,2年,0,8
2020,SUBM 201,武蔵野BASIS,サブ・メジャー（ゼミナール）１,2年,0,2
2020,SUBM 202,武蔵野BASIS,サブ・メジャー（ゼミナール）２,2年,0,4
2020,SUBM 311,武蔵野BASIS,サブ・メジャー（総合研究）１,3年,0,2
2020,SUBM 312,武蔵野BASIS,サブ・メジャー（総合研究）２,3年,0,4
2020,EC 101,武蔵野BASIS,寄付講座1,1･2･3･4年,0,2
2020,EC 201,武蔵野BASIS,資⾦計画論,2年,0,2
2020,EC 202,武蔵野BASIS,証券ビジネス論,2年,0,2
2020,EC 203,武蔵野BASIS,経済教育論,2年,0,2
2020,EC 204,武蔵野BASIS,⾦融リテラシー(⾦融と⼈⽣設計),2年,0,2
2020,EC 205,武蔵野BASIS,未来型都市とメディア,2年,0,2
2020,DS 101,学科,データサイエンス学,1年,2,0
2020,INFO 141,学科,⼈類と⼈⼯知能(AI),1年,2,0
2020,CS 101,学科,メディアクリエーション・データデザイン演習Ⅰ,1年,1,0
2020,CS 102,学科,メディアクリエーション・データデザイン演習Ⅱ,1年,1,0
2020,INFO 101,学科,データサイエンスプログラミング演習Ⅰ,1年,1,0
2020,INFO 102,学科,データサイエンスプログラミング演習Ⅱ,1年,1,0
2020,INFO 211,学科,データと数理Ⅰ,2年,2,0
2020,INFO 212,学科,データと数理Ⅱ,2年,2,0
2020,ECO 201,学科,データと経済統計,2年,2,0
2020,ECO 202,学科,データと計量経済学,2年,2,0
2020,CS 111,学科,ソーシャルイノベーションの起こし⽅,1年,2,0
2020,ES 201,学科,グリーンエコノミー基礎,2年,2,0
2020,INFO 205,学科,サイバーフィジカルシステム,2年,2,0
2020,INFO 121,学科,機械学習と深層学習,1年,2,0
2020,INFO 206,学科,Webテクノロジ,2年,2,0
2020,INFO 221,学科,複合現実,2年,2,0
